,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298
0,-276.6938221423193,-280.23877360688596,-283.05972504474903,-285.3390157037609,-287.2061207578802,-288.7503403329702,-290.0396229797984,-291.12459202631555,-292.0440348452138,-292.8279434758541,-293.50003254943937,-294.07905860638755,-294.58063129901586,-295.0166272718496,-295.3972326826374,-295.73056927335955,-296.02359583403614,-296.2819916227608,-296.51039558908184,-296.7130300486283,-296.89323253208374,-297.05394474878045,-297.197330707392,-297.3259001436877,-297.44112867965754,-297.5447465894316,-297.63799642177185,-297.72216287520723,-297.7982601431727,-297.86710699395974,-297.92945078026025,-297.9859803355996,-298.0373906217985,-298.0842792207252,-298.12650560911663,-298.1653479034276,-298.20082838299027,-298.23340860423843,-298.2562578595198,-298.28600498470405,-298.31367608753806,-298.3313249604921,-298.3531058014614,-298.3778542524268,-298.3954809875554,-298.4116738540745,-298.42637274596336,-298.4399643247026,-298.45255079064293,-298.4641250725948,-298.4747351152595,-298.48450378279745,-298.4935375016039,-298.5018831394716,-298.50958188408424,-298.5166863528184,-298.52324340796645,-298.5292976184717,-298.5348880403037,-298.540051949724,-298.54482232170994,-298.5492297427892,-298.55330288210564,-298.5570679204184,-298.56054846555105,-298.56376571770716,-298.56674127107874,-298.5694925335199,-298.5720372255943,-298.57439022390884,-298.5765662021223,-298.5785770143326,-298.58043574391263,-298.5821563344264,-298.5837504358843,-298.5852279762588,-298.5865985993488,-298.5878691942038,-298.5890471818009,-298.5901404419975,-298.59115305027524,-298.59209177861396,-298.59296206299973,-298.5937689660965,-298.594516376251,-298.5952084495468,-298.59584984456615,-298.5964442528243,-298.59699451849565,-298.59750437518346,-298.5979764709018,-298.59841373143126,-298.5988189612723,-298.59919479512973,-298.59954311964077,-298.5998655832665,-298.60016436971307,-298.600441508873,-298.60069773213786,-298.60093653570914,-298.60115682880974,-298.60136145684226,-298.6015516526446,-298.60172791884065,-298.6018915840863,-298.6020435421626,-298.60218493741,-298.6023161325327,-298.6024385313722,-298.6025515795383,-298.6026567496182,-298.6027548705962,-298.60284559965635,-298.60293056201215,-298.6030091919324,-298.60308241638097,-298.6031501421478,-298.60321324782444,-298.6032717863468,-298.60332677213387,-298.6033772906885,-298.60342475460607,-298.60346888037054,-298.6035094025025,-298.60354736833733,-298.6035828941099,-298.60361551311405,-298.60364656563286,-298.60367462258955,-298.6037008461816,-298.6037255800362,-298.603748459641,-298.6037696991709,-298.60378941464444,-298.60380791083696,-298.6038252992993,-298.6038409175958,-298.603855817351,-298.6038691868923,-298.6038821423217,-298.603893861492,-298.6039049452926,-298.6039148249803,-298.6039248440029,-298.60393339193865,-298.60394186434803,-298.6039496125338,-298.60395642570074,-298.6039631441366,-298.60396942449256,-298.6039748027472,-298.603980288623,-298.6039851852187,-298.6039898153042,-298.60399437652814,-298.60399800660093,-298.604001703442,-298.604004673929,-298.60400816596984,-298.60401126794466,-298.60401441028864,-298.6040170983215,-298.6040190048194,-298.6040215884158,-298.6040234220234,-298.6040253651013,-298.6040273836529,-298.6040287487792,-298.60403027948587,-298.60403168929406,-298.6040327945527,-298.6040343070165,-298.60403560295276,-298.60403589641226,-298.6040375338175,-298.60403855745153,-298.60403925226456,-298.6040405134812,-298.6040410327404,-298.60404185439575,-298.60404235279134,-298.6040425270412,-298.60404359702693,-298.60404388292284,-298.6040443301782,-298.60404500989546,-298.6040453630246,-298.60404548104384,-298.60404597470995,-298.60404636413136,-298.6040465345684,-298.604047346641,-298.60404705540384,-298.60404770055925,-298.6040477835951,-298.60404792878364,-298.6040482380836,-298.60404838474403,-298.6040485258919,-298.6040487264986,-298.6040485098607,-298.6040490972291,-298.6040490964773,-298.60404929449976,-298.6040492588344,-298.60404924099487,-298.60404932496135,-298.6040497110316,-298.6040499014688,-298.6040500393533,-298.6040499059187,-298.60405017251344,-298.60404993166344,-298.6040498520898,-298.6040505649295,-298.6040502293142,-298.6040501527468,-298.60405027267893,-298.60405032963,-298.60405025125044,-298.60405025673344,-298.60405051912426,-298.6040503143437,-298.6040505769939,-298.60405053144166,-298.604050571524,-298.6040502800846,-298.6040504346163,-298.60405079647353,-298.6040507083751,-298.604050657363,-298.6040506586679,-298.60405106483256,-298.6040510033364,-298.6040509402367,-298.60405073126606,-298.6040506466096,-298.6040506405308,-298.6040508249856,-298.6040504717879,-298.6040510102549,-298.60405087617244,-298.6040506901147,-298.604050994772,-298.6040508165088,-298.6040506739429,-298.60405090601705,-298.60405085593356,-298.6040507704864,-298.60405116974334,-298.60405107846327,-298.6040510873346,-298.6040510929914,-298.60405088035145,-298.60405091016685,-298.604051029943,-298.60405052837996,-298.6040506287808,-298.60405094626924,-298.6040508793625,-298.6040507362958,-298.60405097822763,-298.6040508886374,-298.60405082940724,-298.6040510069097,-298.60405109637554,-298.6040507772839,-298.60405114157027,-298.60405092468886,-298.6040511127935,-298.6040512201249,-298.60405045974267,-298.60405087755726,-298.6040508979263,-298.6040508936502,-298.6040510001992,-298.6040506991246,-298.6040509601569,-298.6040509110169,-298.6040509360083,-298.60405095176077,-298.60405076294865,-298.6040510098413,-298.6040509099919,-298.6040511962799,-298.60405059218215,-298.6040508652893,-298.6040508231865,-298.6040512565462,-298.60405115509695,-298.6040509473827,-298.6040507978562,-298.6040508015071,-298.60405075422716,-298.6040508314484,-298.60405077561154,-298.6040508096794,-298.6040504932902,-298.60405092695544
1,-278.61089690416975,-283.18512576063887,-286.7552578508565,-289.59767482721406,-291.89735567854194,-293.78120130948366,-295.3414611180083,-296.64557603199216,-297.7438789601552,-298.675881821128,-299.47154304698347,-300.1545888915093,-300.7441793191289,-301.2549642491542,-301.6995025325607,-302.08809488884873,-302.4286519754353,-302.72831568347834,-302.9928464981889,-303.2269831167155,-303.43481262314054,-303.6197393968424,-303.7846947273749,-303.93224618298336,-304.0612339118295,-304.1830471412036,-304.2898015547546,-304.3859559187065,-304.47284059233175,-304.5512817673831,-304.62229738500537,-304.6868620827995,-304.7453872511908,-304.79861530468327,-304.8471848779503,-304.8914339314798,-304.9318258676643,-304.9686770798486,-305.00230333700756,-305.03311735076363,-305.06153793335193,-305.0875269748776,-305.1114300349816,-305.1333595472113,-305.15337890725334,-305.1718290241429,-305.1888198451692,-305.2044771501038,-305.2189148761596,-305.2322463383274,-305.2445643803327,-305.25580838870485,-305.26634818434513,-305.2760038739466,-305.2849487943587,-305.29323218350396,-305.30085141440406,-305.3079075206608,-305.31441171091353,-305.32043925816095,-305.3260138659434,-305.33119747497506,-305.33602829023243,-305.3405636673225,-305.3447224505903,-305.34855894808675,-305.3520901091905,-305.35537073893556,-305.3584067535153,-305.3612396914681,-305.3638730027425,-305.3663214473945,-305.3686011612939,-305.37071286636956,-305.37267158416876,-305.37448723232035,-305.37617488015326,-305.37774803554055,-305.379210538733,-305.3805695907198,-305.3818308690543,-305.38300034698375,-305.384084167839,-305.3850895951688,-305.38602863203255,-305.3869266662066,-305.38779258308773,-305.38861367105835,-305.389346087831,-305.3900070399883,-305.3906214969297,-305.3911944257944,-305.3917283574074,-305.3922257015654,-305.3926889753693,-305.3931204444117,-305.3935221420048,-305.3938962504892,-305.39424437136836,-305.39456885872187,-305.3948706205597,-305.3951513509538,-305.395412281513,-305.39565484728973,-305.3958806206101,-305.3960902647799,-305.396285448233,-305.3964661320625,-305.39663486757433,-305.39679147217714,-305.3969371463189,-305.3970727100998,-305.3971988090278,-305.39731607721865,-305.39742567465,-305.39752751974936,-305.3976220849338,-305.3977104175341,-305.39779259922227,-305.39786936586404,-305.3979408161691,-305.3980073927969,-305.3980695246022,-305.39812723446687,-305.3981810317308,-305.39823119534105,-305.39827800252715,-305.3983216932563,-305.39836243209425,-305.3984001678865,-305.3984358817927,-305.3984686467412,-305.3984994564256,-305.3985282192575,-305.3985549066084,-305.39857992838427,-305.39860277970377,-305.3986248365702,-305.39864496936764,-305.3986639136914,-305.3986814819823,-305.3986979331894,-305.3987132689871,-305.3987275621288,-305.3987409630106,-305.3987533849015,-305.3987648142099,-305.39877559569766,-305.3987857394875,-305.39879515041093,-305.3988039649561,-305.3988121138534,-305.3988198072849,-305.3988268484509,-305.39883364968944,-305.39883969465745,-305.398845329477,-305.3988508982836,-305.39885581063163,-305.3988605731728,-305.398864878563,-305.3988690538316,-305.3988731207967,-305.39887643453335,-305.3988795320581,-305.39888269847756,-305.39888582440426,-305.39888835526085,-305.3988908817597,-305.3988931149414,-305.39889555373804,-305.398897642683,-305.3988994969054,-305.39890126132923,-305.39890298089495,-305.3989044284914,-305.39890601671664,-305.3989072848183,-305.3989085114307,-305.39890947299887,-305.39891067573546,-305.39891183185205,-305.3989127396858,-305.3989136048764,-305.3989145165274,-305.3989151242216,-305.3989160374251,-305.3989166709796,-305.39891728087787,-305.39891800839644,-305.3989183933937,-305.3989190351879,-305.39891948946183,-305.39891984939004,-305.39892023422817,-305.3989205982982,-305.39892088246165,-305.39892128425333,-305.398921573273,-305.39892205370757,-305.39892220207264,-305.3989224940233,-305.3989228600932,-305.39892303690567,-305.3989232032577,-305.3989231681509,-305.3989235124649,-305.39892375952536,-305.3989237378122,-305.3989239608678,-305.3989241795988,-305.39892437310084,-305.3989245192389,-305.3989245063925,-305.39892463582464,-305.3989248464096,-305.39892474613816,-305.39892483155427,-305.39892505683247,-305.39892507537445,-305.3989250524745,-305.3989249977401,-305.39892513927657,-305.39892540106996,-305.39892528337475,-305.3989253391478,-305.3989254638234,-305.39892534151477,-305.39892557420046,-305.3989251925972,-305.3989256506602,-305.3989255931498,-305.39892566869435,-305.3989258805799,-305.39892577878993,-305.39892568580126,-305.39892571575615,-305.39892575104636,-305.39892576926604,-305.3989258150119,-305.39892584218956,-305.3989258482436,-305.398925897935,-305.39892584648624,-305.39892579551804,-305.39892589462113,-305.3989257533948,-305.39892603015255,-305.3989259395223,-305.3989259831794,-305.398925988736,-305.39892609596893,-305.39892585574603,-305.3989258935429,-305.3989258905783,-305.3989259938555,-305.39892592714546,-305.39892594732885,-305.39892586639223,-305.39892601913766,-305.3989260317187,-305.3989261583581,-305.3989258934631,-305.39892585478265,-305.39892603112514,-305.3989261030953,-305.39892611258335,-305.3989259763666,-305.39892599866926,-305.3989259836734,-305.39892609030176,-305.3989260254888,-305.39892587683687,-305.398926165699,-305.3989262608957,-305.39892617168346,-305.3989258519633,-305.39892603710985,-305.3989260058287,-305.3989259393385,-305.3989261467194,-305.39892599839595,-305.39892615002645,-305.39892587644226,-305.3989259268792,-305.398926161498,-305.39892624826155,-305.3989260391684,-305.39892598059123,-305.3989261068268,-305.39892594652724,-305.39892613356494,-305.3989262201733,-305.3989262708433,-305.39892594641026,-305.3989260681004,-305.39892599027166,-305.39892616767384,-305.3989261044957
2,-279.8852242162735,-284.1124545921158,-287.43984031804223,-290.105538649835,-292.2727583058761,-294.0546561169141,-295.53477043830753,-296.77479303345,-297.8214975084641,-298.7109038264735,-299.4708466983218,-300.1186799868474,-300.6874212490667,-301.17780194794364,-301.6040832438554,-301.97678231018483,-302.30384049338124,-302.5916774486195,-302.8501672335594,-303.0705726067579,-303.2720827972472,-303.4488481086392,-303.6077066546454,-303.74972362230073,-303.87709386152267,-303.99152772128605,-304.0944978829558,-304.18735340687647,-304.2711324226965,-304.3434761661882,-304.41578033228143,-304.4780167745123,-304.5347112608366,-304.5863387551251,-304.6316924162103,-304.67249664775477,-304.71180503459254,-304.7494223743006,-304.78219183764054,-304.81237876329806,-304.8398685427446,-304.8650554895536,-304.88820869133497,-304.91086183509367,-304.9330155716815,-304.94806391474117,-304.9644491830886,-304.9827839004911,-304.9937626521488,-305.00667060030594,-305.01861037887386,-305.0296329716567,-305.0348437819224,-305.04369415106135,-305.0519941522281,-305.0592060423538,-305.06580039914434,-305.0716816148325,-305.08673852447805,-305.0926211504616,-305.0980233526509,-305.1029794943197,-305.10751714891717,-305.1119445054403,-305.11603592311667,-305.1196792702268,-305.12002465724015,-305.12444068317916,-305.12921079635885,-305.1321416162165,-305.1347520758509,-305.1370803156302,-305.1392148034221,-305.14127814138806,-305.1431759657471,-305.1449515949977,-305.14658579418995,-305.14809943854357,-305.14949168452733,-305.1507742294825,-305.1519717306044,-305.15309091415475,-305.1541355549822,-305.1551052795421,-305.1559987761756,-305.15679817735395,-305.15762634134785,-305.1583620512646,-305.1590012472435,-305.15960809542867,-305.16018797626975,-305.160736303915,-305.1612493565251,-305.16172639285924,-305.16217027569337,-305.16258340085847,-305.16296873534327,-305.163327826981,-305.16366210446733,-305.16397303971405,-305.1642624514999,-305.16453189579477,-305.1647823312928,-305.1650152052084,-305.16523193627916,-305.16543332853394,-305.1656208895796,-305.16579502035904,-305.16595691234625,-305.1661075006008,-305.1662473593299,-305.1663772542431,-305.1664979293006,-305.1666098539813,-305.1667142058544,-305.1668112047388,-305.1669011324069,-305.16698511465916,-305.1670627838305,-305.1671351296392,-305.16720246394675,-305.16726549154544,-305.16732366660995,-305.16737785192504,-305.16742865544893,-305.167475703905,-305.1675195708282,-305.16756038558833,-305.16759837221593,-305.1676336511697,-305.1676668377122,-305.16769749358446,-305.1677260221578,-305.1677527529089,-305.1677778352266,-305.1678006049726,-305.1678225368556,-305.16784276212866,-305.16786129970274,-305.16787873621035,-305.1678953320627,-305.16791028124214,-305.16792426814175,-305.16793736297143,-305.16794977944505,-305.1679613417706,-305.1679720028992,-305.16798183637366,-305.1679912634107,-305.16799973434684,-305.1680077859446,-305.16801523547326,-305.16802238786045,-305.16802888027416,-305.16803483294916,-305.16804048398217,-305.16804601672584,-305.1680509890725,-305.1680553807465,-305.1680595984493,-305.16806370395364,-305.1680672342143,-305.1680709178371,-305.168074102746,-305.1680772076288,-305.16808016290054,-305.1680826278025,-305.1680850004851,-305.1680873247383,-305.1680895041003,-305.16809149787264,-305.16809322958,-305.1680950442304,-305.1680965078468,-305.16809825283633,-305.1680995249541,-305.1681006317316,-305.16810191464003,-305.16810300801205,-305.1681041091151,-305.16810529710517,-305.16810605538944,-305.1681068211386,-305.16810777724675,-305.1681085389224,-305.1681092583474,-305.168109974976,-305.1681104137947,-305.1681110499063,-305.1681114340864,-305.16811207282694,-305.1681123369467,-305.1681130091374,-305.1681132259067,-305.16811345697147,-305.16811406344186,-305.16811431478584,-305.16811458136056,-305.16811494329716,-305.1681152440095,-305.168115531083,-305.16811573721327,-305.1681157025471,-305.168116069818,-305.1681162007178,-305.1681165338847,-305.16811659217524,-305.16811677555654,-305.1681168926998,-305.16811693463785,-305.1681170283241,-305.16811733765235,-305.16811751909245,-305.16811747680606,-305.16811751898103,-305.1681176606198,-305.1681176432787,-305.1681175911424,-305.16811788528616,-305.1681179477125,-305.1681180973907,-305.16811802203085,-305.1681179544247,-305.1681181971758,-305.16811826702906,-305.1681182424413,-305.1681181988987,-305.1681184011644,-305.1681185589425,-305.1681184628941,-305.1681182400706,-305.16811840435355,-305.16811827196784,-305.16811861237557,-305.1681186955941,-305.1681185872186,-305.16811856169136,-305.1681185476723,-305.1681184467142,-305.16811865157206,-305.16811856664515,-305.1681187001278,-305.1681186380813,-305.16811875923486,-305.16811864397334,-305.168118529753,-305.1681187154761,-305.1681189400865,-305.16811875203314,-305.16811878871545,-305.1681188325566,-305.1681187178134,-305.1681188316435,-305.16811879217437,-305.16811883785556,-305.16811892078465,-305.16811896636955,-305.1681187328792,-305.1681187415703,-305.16811876630504,-305.1681188983605,-305.1681189961139,-305.16811869655567,-305.168118915214,-305.1681188847224,-305.16811879107274,-305.168118795536,-305.1681188879652,-305.1681187596712,-305.16811886782216,-305.16811862823874,-305.16811864061015,-305.1681188841038,-305.1681188382038,-305.1681190643151,-305.1681188218229,-305.16811873423535,-305.1681188263269,-305.1681188111646,-305.1681187983619,-305.1681188403128,-305.1681187143114,-305.1681190011103,-305.1681188946327,-305.16811890558154,-305.168118874401,-305.1681186640675,-305.1681188542957,-305.1681187998055,-305.16811884419735,-305.1681187393983,-305.16811868191667,-305.1681188057389,-305.1681186610872,-305.16811907203396,-305.1681187765496,-305.16811893820136,-305.16811899732113,-305.1681187457996
