,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298
0,-276.69387826143054,-280.2387428245784,-283.0594782329914,-285.33942625493705,-287.20586315355575,-288.75011444888395,-290.0394418208414,-291.1244445095173,-292.04386263567534,-292.827801264223,-293.4999558986024,-294.07918547239683,-294.58064692156506,-295.01662804239834,-295.3971683483055,-295.73052821846676,-296.02354771665756,-296.2819240098187,-296.5104279506229,-296.7130746613416,-296.89325896936276,-297.0538637266738,-297.1973470261125,-297.32581286158046,-297.4410687033917,-297.5446726615032,-297.6379723110655,-297.7221368022847,-297.7981835315421,-297.8670003855085,-297.9293643646347,-297.9859572323094,-298.03737871036174,-298.084157642441,-298.1267614680942,-298.16560428756634,-298.2010537469737,-298.23343693290997,-298.2630454327075,-298.2901396898757,-298.31495276244993,-298.3376935741594,-298.35854973364144,-298.37768998485546,-298.39526634182994,-298.41141595258614,-298.42626273016253,-298.43991878290365,-298.45248567135036,-298.46405551501664,-298.4747119689347,-298.4845310869846,-298.4935820865918,-298.5019280273241,-298.5096264141878,-298.5167297349192,-298.52328593933123,-298.52933886767346,-298.53492863405893,-298.5400919702123,-298.544862534117,-298.54927118755745,-298.5533462460504,-298.5571137042192,-298.5605974392986,-298.56381939512585,-298.56679974869564,-298.5695570611082,-298.5721084145289,-298.5744695365918,-298.5766549135145,-298.57867789305044,-298.58055077828385,-298.58228491315356,-298.58389076050946,-298.58537797340546,-298.5867554602704,-298.58803144452384,-298.58921351915353,-298.5903086967062,-298.5913234551135,-298.59226377972277,-298.59313520186674,-298.5939428342799,-298.594691403635,-298.5953852804463,-298.59602850656825,-298.5966248204925,-298.5971776806291,-298.5976902867409,-298.59816559968647,-298.59860635960774,-298.59901510269447,-298.59939417664077,-298.5997457548965,-298.6000718498167,-298.6003743247926,-298.6006549054499,-298.6009151899849,-298.60115665870944,-298.60138068286733,-298.6015885327769,-298.6017813853549,-298.6019603310707,-298.60212638037274,-298.6022804696281,-298.6024234666179,-298.6025561756144,-298.60267934208,-298.60279365701206,-298.6028997609634,-298.60299824776007,-298.6030896679446,-298.603174531959,-298.6032533130942,-298.603326450218,-298.6033943502989,-298.60345739074864,-298.60351592158327,-298.603570267431,-298.6036207293871,-298.6036675867341,-298.603711098535,-298.60375150510777,-298.6037890293926,-298.60382387821767,-298.60385624347236,-298.60388630319414,-298.6039142225758,-298.6039401548983,-298.60396424239707,-298.6039866170622,-298.6040074013813,-298.60402670902965,-298.6040446455079,-298.6040613087325,-298.60407678958734,-298.604091172429,-298.60410453556096,-298.60411695166954,-298.6041284882299,-298.60413920788153,-298.60414916877755,-298.60415842490727,-298.6041670263975,-298.6041750197887,-298.60418244829486,-298.60418935204143,-298.6041957682885,-298.60420173163527,-298.6042072742124,-298.6042124258588,-298.60421721428565,-298.6042216652294,-298.6042258025933,-298.60422964857867,-298.6042332238062,-298.60423654743056,-298.60423963724327,-298.6042425097721,-298.60424518036973,-298.60424766329925,-298.60424997181053,-298.60425211821394,-298.60425411394556,-298.6042559696318,-298.6042576951455,-298.6042592996597,-298.60426079169827,-298.6042621791811,-298.6042634694687,-298.60426466939987,-298.60426578533065,-298.60426682316756,-298.6042677883995,-298.60426868612853,-298.6042695210954,-298.60427029770744,-298.60427102006065,-298.6042716919618,-298.60427231694985,-298.6042728983143,-298.60427343911294,-298.6042739421879,-298.60427441018203,-298.6042748455511,-298.60427525057924,-298.6042756273896,-298.60427597795604,-298.6042763041138,-298.604276607569,-298.6042768899082,-298.6042771526071,-298.60427739703664,-298.60427762447284,-298.60427783610135,-298.60427803302537,-298.6042782162706,-298.60427838679084,-298.6042785454729,-298.60427869314185,-298.6042788305648,-298.60427895845555,-298.6042790774776,-298.6042791882485,-298.60427929134164,-298.6042793872921,-298.6042794765958,-298.6042795597151,-298.60427963708,-298.60427970908995,-298.6042797761172,-298.60427983850764,-298.60427989658297,-298.6042799506429,-298.6042800009661,-298.60428004781147,-298.60428009142026,-298.60428013201704,-298.6042801698103,-298.6042802049942,-298.6042802377501,-298.6042802682455,-298.60428029663706,-298.6042803230706,-298.6042803476812,-298.60428037059523,-298.6042803919303,-298.6042804117951,-298.6042804302914,-298.6042804475137,-298.6042804635505,-298.604280478483,-298.60428049238783,-298.60428050533596,-298.60428051739325,-298.6042805286213,-298.6042805390771,-298.60428054881413,-298.604280557882,-298.6042805663268,-298.6042805741913,-298.6042805815157,-298.604280588337,-298.60428059468984,-298.6042806006068,-298.6042806061175,-298.60428061125026,-298.6042806160309,-298.60428062048345,-298.60428062463075,-298.6042806284937,-298.6042806320918,-298.6042806354436,-298.60428063856546,-298.60428064147345,-298.6042806441826,-298.6042806467058,-298.60428064905636,-298.604280651246,-298.60428065328597,-298.60428065518636,-298.60428065695623,-298.6042806586056,-298.6042806601421,-298.6042806615733,-298.6042806629067,-298.6042806641491,-298.60428066530653,-298.60428066638474,-298.60428066738973,-298.6042806683257,-298.6042806691979,-298.6042806700103,-298.6042806707675,-298.6042806714729,-298.60428067213024,-298.6042806727427,-298.6042806733134,-298.6042806738451,-298.60428067434054,-298.60428067480234,-298.60428067523253,-298.6042806756334,-298.60428067600697,-298.60428067635496,-298.6042806766794,-298.6042806769817,-298.60428067726343,-298.60428067752605,-298.6042806777707,-298.60428067799853,-298.60428067821124,-298.60428067840917,-298.6042806785937,-298.6042806787657,-298.604280678926,-298.6042806790754,-298.6042806792144
1,-278.61111994814996,-283.18516540788545,-286.75521805780784,-289.5977752808491,-291.89705163662256,-293.78095349836644,-295.34120255558696,-296.6452995235054,-297.7439892091388,-298.67610553180367,-299.4718204655447,-300.15488351424875,-300.7442021039494,-301.2549797516725,-301.699550405759,-302.0879996676562,-302.42863376177934,-302.7283379526583,-302.99285351148967,-303.22699388313146,-303.4348149290251,-303.61975010785056,-303.7847186237018,-303.9322125454007,-304.0643674324108,-304.18301992648776,-304.28975497058923,-304.38594471959016,-304.472780756382,-304.5513008833484,-304.62241149530837,-304.68690633584583,-304.74548227983416,-304.79875266018655,-304.8472585584086,-304.89147840036844,-304.93183613635733,-304.9687082344933,-305.0024296762142,-305.0332991099775,-305.06158329275354,-305.0875209272381,-305.11132598495726,-305.133190590842,-305.15328753279266,-305.1717724497744,-305.1887857436942,-305.2044542533972,-305.21889272334977,-305.23220509473606,-305.2444856426264,-305.2558199794588,-305.2662859421738,-305.2759543779057,-305.2848898410456,-305.2931512127384,-305.30079225236375,-305.3078620892726,-305.31440566194794,-305.3204641108258,-305.3260751301925,-305.3312732838949,-305.33609028898536,-305.34055527091743,-305.3446949934587,-305.3485340660985,-305.35209513139137,-305.3553990343901,-305.3584649760634,-305.361310652375,-305.36395238050477,-305.36640521352695,-305.36868304470875,-305.37079870246737,-305.37276403690396,-305.37458999873695,-305.3762867113687,-305.3778635367372,-305.3793291355423,-305.38069152236983,-305.3819581161823,-305.3831357866047,-305.38423089638354,-305.3852493403573,-305.3861965812579,-305.3870776826103,-305.38789733899307,-305.3886599038807,-305.3893694152782,-305.390029619334,-305.39064399210156,-305.3912157596053,-305.39174791634935,-305.39224324240104,-305.3927043191577,-305.39313354391595,-305.39353314332686,-305.3939051858355,-305.3942515931815,-305.3945741510362,-305.39487451884315,-305.39515423892624,-305.39541474492046,-305.39565736957866,-305.39588335200233,-305.3960938443406,-305.3962899179976,-305.39647256938724,-305.39664272526534,-305.39680124767654,-305.3969489385422,-305.39708654391484,-305.3972147579252,-305.397334226447,-305.39744555049697,-305.3975492893894,-305.39764596366786,-305.3977360578252,-305.39782002282993,-305.3978982784737,-305.3979712155501,-305.39803919788073,-305.39810256419605,-305.3981616298846,-305.39821668861714,-305.3982680138582,-305.3983158602688,-305.39836046501205,-305.39840204896655,-305.398440817855,-305.3984769632932,-305.39851066376514,-305.39854208553174,-305.39857138347384,-305.3985987018783,-305.39862417516713,-305.39864792857907,-305.3986700787998,-305.3986907345518,-305.3987099971416,-305.39872796096836,-305.39874471399924,-305.39876033820974,-305.3987749099957,-305.3987885005547,-305.3988011762418,-305.3988129989026,-305.3988240261799,-305.39883431180226,-305.3988439058505,-305.3988528550076,-305.39886120278993,-305.3988689897644,-305.39887625374786,-305.39888302999634,-305.39888935137753,-305.39889524853515,-305.3989007500396,-305.39890588252877,-305.3989106708391,-305.3989151381294,-305.398919305993,-305.39892319456544,-305.3989268226228,-305.39893020767386,-305.3989333660461,-305.3989363129658,-305.3989390626331,-305.39894162829034,-305.3989440222881,-305.3989462561452,-305.3989483406043,-305.3989502856856,-305.39895210073394,-305.3989537944667,-305.39895537501377,-305.39895684995975,-305.39895822637834,-305.39895951086794,-305.39896070958446,-305.39896182826953,-305.39896287227975,-305.398963846612,-305.39896475592764,-305.39896560457555,-305.39896639661276,-305.39896713582425,-305.39896782574124,-305.3989684696585,-305.3989690706494,-305.39896963158196,-305.3989701551317,-305.39897064379545,-305.39897109990284,-305.39897152562685,-305.39897192299543,-305.39897229390135,-305.39897264011006,-305.39897296326944,-305.3989732649168,-305.3989735464867,-305.39897380931825,-305.39897405466047,-305.3989742836793,-305.39897449746275,-305.3989746970259,-305.39897488331644,-305.39897505721876,-305.39897521955766,-305.39897537110346,-305.398975512575,-305.3989756446431,-305.3989757679335,-305.39897588303063,-305.3989759904798,-305.39897609079026,-305.39897618443626,-305.398976271862,-305.39897635348075,-305.398976429679,-305.3989765008172,-305.3989765672318,-305.3989766292367,-305.39897668712536,-305.3989767411713,-305.39897679163005,-305.3989768387397,-305.3989768827231,-305.39897692378804,-305.398976962128,-305.39897699792414,-305.398977031346,-305.39897706255056,-305.3989770916853,-305.39897711888773,-305.3989771442863,-305.3989771680002,-305.3989771901422,-305.39897721081593,-305.39897723011904,-305.39897724814216,-305.398977264971,-305.3989772806841,-305.39897729535585,-305.39897730905534,-305.3989773218467,-305.39897733379064,-305.3989773449431,-305.3989773553566,-305.39897736508044,-305.3989773741598,-305.3989773826379,-305.39897739055425,-305.3989773979465,-305.3989774048489,-305.39897741129437,-305.3989774173127,-305.3989774229327,-305.3989774281806,-305.398977433081,-305.3989774376571,-305.39897744193,-305.3989774459201,-305.39897744964605,-305.39897745312555,-305.3989774563745,-305.3989774594087,-305.39897746224176,-305.3989774648875,-305.3989774673581,-305.3989774696653,-305.39897747181965,-305.3989774738318,-305.39897747571035,-305.398977477465,-305.39897747910356,-305.39897748063333,-305.39897748206226,-305.3989774833965,-305.3989774846426,-305.3989774858063,-305.3989774868928,-305.3989774879077,-305.3989774888554,-305.39897748974033,-305.39897749056684,-305.39897749133877,-305.39897749205954,-305.39897749273257,-305.3989774933614,-305.3989774939482,-305.3989774944964,-305.3989774950086,-305.39897749548675,-305.3989774959331,-305.3989774963504,-305.3989774967397,-305.3989774971034,-305.3989774974432
2,-279.8854165078357,-284.11253997420727,-287.4398957461066,-290.1059038134502,-292.2726870566717,-294.0546086960073,-295.53470672694095,-296.77470154144044,-297.82136589186734,-298.7107283848468,-299.4709318276899,-300.12422683097725,-300.6883928537583,-301.1777704091774,-301.60402330644996,-301.97670979599815,-302.3037161051813,-302.59158935507753,-302.84579589020353,-303.07092363066386,-303.27084194015157,-303.44882892047895,-303.60767349786886,-303.7497578337732,-303.8771242576936,-303.99152993560836,-304.0944917551333,-304.18732335803384,-304.2711658332496,-304.34701326442894,-304.4157340800707,-304.4780889635383,-304.5347459311338,-304.58629306919784,-304.6332493285171,-304.6760737005808,-304.7151730413034,-304.75090876046056,-304.78360255686925,-304.8135413483485,-304.84098152025865,-304.86615259579867,-304.889260414316,-304.91048988994487,-304.9300074113852,-304.94796293409195,-304.9644918082032,-304.97971637893545,-304.9937473906334,-305.00668522103433,-305.0186209684009,-305.0296374109022,-305.0398098548478,-305.0492068860277,-305.05789103642667,-305.06591937688984,-305.0733440448663,-305.0802127151368,-305.0865690203765,-305.09245292749904,-305.09790107496053,-305.10294707553123,-305.1076217884761,-305.1119535645836,-305.1159684670638,-305.11969047096034,-305.12314164339875,-305.1263423067297,-305.12931118636004,-305.13206554487545,-305.1346213038629,-305.13699315467943,-305.13919465928404,-305.1412383421083,-305.1431357738534,-305.1448976479861,-305.14653385063855,-305.1480535245339,-305.14946512749316,-305.15077648603165,-305.1519948444861,-305.15312691008387,-305.15417889431353,-305.1551565509267,-305.15606521086863,-305.15690981440014,-305.15769494065944,-305.1584248348769,-305.1591034334459,-305.15973438702747,-305.16032108185334,-305.16086665937644,-305.1613740344061,-305.161845911848,-305.16228480216535,-305.1626930356624,-305.16307277568455,-305.16342603082137,-305.163754666193,-305.16406041388507,-305.164344882612,-305.1646095666522,-305.16485585412534,-305.165085034654,-305.1652983064612,-305.16549678294314,-305.16568149876275,-305.1658534154933,-305.16601342685044,-305.1661623635446,-305.1663009977773,-305.16643004741354,-305.16655017984954,-305.16666201560247,-305.16676613164043,-305.16686306447014,-305.16695331300696,-305.1670373412344,-305.16711558067425,-305.1671884326811,-305.1672562705711,-305.1673194415978,-305.1673782687901,-305.16743305265607,-305.1674840727669,-305.1675315892286,-305.16757584404786,-305.1676170624023,-305.16765545382066,-305.1676912132773,-305.16772452221323,-305.16775554948106,-305.1677844522245,-305.1678113766984,-305.16783645902694,-305.1678598259109,-305.16788159528437,-305.16790187692607,-305.1679207730268,-305.16793837871694,-305.16795478255904,-305.1679700670021,-305.1679843088083,-305.167997579446,-305.1680099454586,-305.16802146880525,-305.1680322071787,-305.16804221430107,-305.168051540198,-305.1680602314559,-305.16806833145847,-305.16807588060885,-305.1680829165351,-305.1680894742824,-305.1680955864913,-305.1681012835629,-305.1681065938137,-305.1681115436205,-305.1681161575518,-305.1681204584945,-305.1681244677683,-305.16812820523364,-305.16813168939257,-305.1681349374825,-305.1681379655623,-305.1681407885932,-305.16814342051475,-305.16814587431486,-305.1681481620949,-305.16815029513054,-305.16815228392795,-305.1681541382775,-305.1681558673022,-305.1681574795034,-305.1681589828031,-305.1681603845842,-305.16816169172694,-305.16816291064345,-305.1681640473098,-305.1681651072953,-305.1681660957911,-305.1681670176349,-305.16816787733705,-305.1681686791002,-305.16816942684216,-305.16817012421507,-305.16817077462304,-305.1681713812392,-305.1681719470215,-305.16817247472784,-305.1681729669285,-305.16817342601985,-305.16817385423656,-305.16817425366094,-305.1681746262351,-305.1681749737694,-305.16817529795185,-305.1681756003562,-305.16817588245,-305.16817614560125,-305.16817639108535,-305.16817662009225,-305.1681768337312,-305.16817703303593,-305.1681772189713,-305.16817739243663,-305.1681775542702,-305.1681777052544,-305.1681778461186,-305.16817797754277,-305.1681781001615,-305.16817821456607,-305.1681783213081,-305.16817842090234,-305.1681785138287,-305.1681786005346,-305.16817868143767,-305.16817875692686,-305.16817882736586,-305.168178893093,-305.1681789544243,-305.16817901165484,-305.1681790650588,-305.1681791148933,-305.168179161397,-305.1681792047933,-305.16817924529016,-305.1681792830818,-305.1681793183494,-305.1681793512621,-305.1681793819771,-305.16817941064187,-305.1681794373932,-305.16817946235903,-305.16817948565927,-305.16817950740494,-305.1681795277002,-305.1681795466417,-305.16817956432,-305.1681795808197,-305.16817959621926,-305.1681796105927,-305.1681796240081,-305.16817963652943,-305.16817964821655,-305.16817965912503,-305.16817966930694,-305.1681796788108,-305.1681796876817,-305.16817969596184,-305.16817970369084,-305.1681797109055,-305.16817971763976,-305.1681797239262,-305.168179729794,-305.16817973527156,-305.16817974038486,-305.1681797451579,-305.1681797496135,-305.16817975377296,-305.16817975765605,-305.1681797612806,-305.1681797646644,-305.1681797678232,-305.168179770772,-305.168179773525,-305.16817977609514,-305.1681797784945,-305.1681797807346,-305.16817978282575,-305.168179784778,-305.1681797866006,-305.1681797883024,-305.1681797898909,-305.1681797913741,-305.1681797927589,-305.16817979405164,-305.16817979525877,-305.16817979638586,-305.1681797974379,-305.1681797984204,-305.1681797993376,-305.16817980019414,-305.1681798009937,-305.1681798017403,-305.1681798024372,-305.16817980308826,-305.1681798036958,-305.16817980426345,-305.1681798047931,-305.168179805288,-305.16817980574956,-305.168179806181,-305.1681798065838,-305.16817980695987,-305.16817980731116,-305.1681798076388,-305.1681798079451,-305.1681798082309
